dialect_text,standard_text,dialect
"शेतस तांदूळ पिकतील, ते कितलं लागन?","असते तांदूळ पिकतील, ते किती लागेल?",D2
"मनाले कांदा पिकाले शेतस, पिकणार्‍या गावात गनज कांदे शेतस?","मला कांदा पिकाला आहे, पिकणार्‍या गावात पुष्कळ कांदे आहेत?",D2
"तुनाले मका पिकाले शेतस, शेतात उगवणार्‍या तेलाच्या पानांनी कशी करस?","तुला मका पिकाला आहे, शेतात उगवणार्‍या तेलाच्या पानांनी कशी करावी?",D2
"शेतस गव्या पिकाले शेतस, त्या गावात गव्यांना भेटन कुठे?","असते गव्या पिकाले आहे, त्या गावात गव्यांना कुठे मिळेल?",D2
"मनाले पामा पिकाले शेतस, पिकणार्‍या गावात पामाच्या पानांनी कितलं शेतस?","मला पामा पिकाला आहे, पिकणार्‍या गावात पामाच्या पानांनी किती आहेत?",D2
मनाले शेतस शेतकऱ्यांना फेरचे बीज देवाले,मला शेतकऱ्यांना फेरचे बीज द्यायचे आहे,D2
तुनाले कापसाची काढणी केली पाहिजे किंवा खास गनज दिवसा कापून देवाले?,तुला कापसाची काढणी करावी लागते किंवा खातो पुष्कळ दिवसा कापून द्यायचे आहे?,D2
शेतस कृषी उत्पादनांचे मूल्य भेटन?,कृषी उत्पादनांचे मूल्य मिळेल?,D2
कृषी शेतकऱ्यांच्या विकासाला काय करस?,कृषी शेतकऱ्यांच्या विकासासाठी काय करायचे आहे?,D2
मनाले कृषी प्रशिक्षण केंद्रात प्रशिक्षण देवाले शेतस,मला कृषी प्रशिक्षण केंद्रात प्रशिक्षण द्यायचे आहे शेतात,D2
कृषी उत्पादनांचे शेतकऱ्यांना कितलं शेतस गावता?,कृषी उत्पादनांचे शेतकऱ्यांना किती मिळते?,D2
तुनाले शेतकऱ्यांना कृषी उपकरणे देवाले खास,तुला शेतकऱ्यांना कृषी उपकरणे द्यायचे खाते?,D2
मनाले शेतकऱ्यांना कृषी सल्ला देवाले,मला शेतकऱ्यांना कृषी सल्ला द्यायचा आहे,D2
मनाले शेतकऱ्यांना कृषी प्रशिक्षण देवाले लागन,मला शेतकऱ्यांना कृषी प्रशिक्षण द्यायचे आहे लागेल,D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"वस्त्री पिकाले वेळा तुनाले करस, किती दिवसात शेतस?","वस्त्री पिकाला वेळा तुला लागतो, किती दिवसात असते?",D2
गनज जाती शेतकऱ्यांना प्रत्येक वर्षी किती कोटी रुपये खास?,अनेक जाती शेतकऱ्यांना प्रत्येक वर्षी किती रुपये खात असते?,D2
"संतरे पिकांवर कुठे जस्ता भेटन, त्या शेतकऱ्यांचा शेतस?","संतरे पिकांवर कुठे जस्ता मिळेल, त्या शेतकऱ्यांचा शेत आहे?",D2
"भात पिकाले पाणी शेतकऱ्यांना कुठे भेटन, त्यांचा शेतस?","भात पिकाला पाणी शेतकऱ्यांना कुठे मिळेल, त्यांचा शेत आहे?",D2
"गनज जाती शेततल्याला किती कोटी रुपये खास, त्या शेतकऱ्यांचा शेतस?","अनेक जाती शेततल्याला किती रुपये खात असते, त्या शेतकऱ्यांचा शेत आहे?",D2
"पुरणपोळी पिकाले कुठे तापमान भेटन, त्या शेतकऱ्यांचा शेतस?","पुरणपोळी पिकाले कुठे तापमान मिळेल, त्या शेतकऱ्यांचा शेत आहे?",D2
"मनाले गनज जाती शेतकऱ्यांना किती कोटी रुपये खास, त्यांचा शेतस?","मला अनेक जाती शेतकऱ्यांना किती रुपये खात असते, त्यांचा शेत आहे?",D2
"कापूस पिकाले कुठे बाजार भेटन, त्या शेतकऱ्यांचा शेतस?","कापूस पिकाले कुठे बाजार मिळेल, त्या शेतकऱ्यांचा शेत आहे?",D2
"गनज जाती शेतकऱ्यांना किती कोटी रुपये खास, त्यांचा शेतस कुठे आहे?","अनेक जाती शेतकऱ्यांना किती रुपये खात असते, त्यांचा शेत कुठे आहे?",D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"गनज शेतकरी कापूस पिकायला शेतस, काळजात काय शेतस?","पुष्कळ शेतकरी कापूस पिकायला आहेत, काळजात काय आहे?",D2
"मनाले मक्ता पिकाले खास, शेतात काय शेतस?","मला मक्ता पिकाला खात आहे, शेतात काय आहे?",D2
"संत्रा पिकावर रोग पडना शेतस, कठे औषध भेटन?","संत्रा पिकावर रोग पडला आहे, कुठे औषध मिळेल?",D2
"मनाले गवत पिकाले पाणी देवाले शेतस, खाली पाणी कितलं शेतस?","मला गवत पिकाला पाणी द्यायचे आहे, खाली पाणी किती आहे?",D2
"शेतात रोग पडना शेतस, तुनाले औषध कसे भेटन?","शेतात रोग पडला आहे, तुला औषध कसे मिळेल?",D2
"गनज शेतकरी बाजरी पिकायला शेतस, कुठे शेतस?","पुष्कळ शेतकरी बाजरी पिकायला आहेत, कुठे आहेत?",D2
"मनाले धान पिकाले पाणी देवाले शेतस, भेटना कितलं शेतस?","मला धान पिकाला पाणी द्यायचे आहे, मिळेल किती आहे?",D2
"करस शेतकरी कापूस पिकायला शेतस, कुणाला भेटन?","कुणी शेतकरी कापूस पिकायला आहेत, कुणाला मिळेल?",D2
"सातवडा पिकावर रोग पडना शेतस, कठे औषध भेटन?","सातवडा पिकावर रोग पडला आहे, कुठे औषध मिळेल?",D2
हायड्रोलिक पंप वापरून कितलं शेतस पाणी भेटन?,हायड्रोलिक पंप वापरून किती पाणी मिळेल?,D2
"मनाले मालवाहू तुनाले पिकाले शेतस, गनज वेळा करस?","मला मलवाहू तुला पिकाला द्यायचे आहे, पुष्कळ वेळा किती काम करता?",D2
"खास खातो शेती पिकाले शेतस, शेताच्या शेतांना कितलं भेटन?","खातो शेती पिकाला द्यायचे आहे, शेताच्या शेतांना किती मिळेल?",D2
"तुनाले पिकाले शेतस, खेतातले कितलं शेतस गनज पाणी लागन?","तुला पिकाला द्यायचे आहे, खेतातले किती पाणी पुष्कळ लागेल?",D2
"गनज शेतांना कितलं शेतस भेटन, मनाले दूध पिकाले शेतस?","पुष्कळ शेतांना किती मिळेल, मला दूध पिकाला द्यायचे आहे?",D2
"शेतसाठी कितलं शेतस शेतसाठी भेटन, मनाले दूध पिकाले शेतस?","शेतीसाठी किती मिळेल, मला दूध पिकाला द्यायचे आहे?",D2
"मनाले बियाणे तुनाले पिकाले शेतस, कितलं शेतस गनज भेटन?","मला बियाणे तुला पिकाला द्यायचे आहे, किती पुष्कळ मिळेल?",D2
"कितलं शेतस शेतसाठी भेटन, मनाले बियाणे तुनाले पिकाले शेतस?","किती शेतीसाठी मिळेल, मला बियाणे तुला पिकाला द्यायचे आहे?",D2
"कितलं शेतस गनज शेतांना भेटन, मनाले शेती तुनाले पिकाले शेतस?","किती पुष्कळ शेतांना मिळेल, मला शेती तुला पिकाला द्यायचे आहे?",D2
"मनाले शेती तुनाले पिकाले शेतस, कितलं शेतस गनज भेटन?","मला शेती तुला पिकाला द्यायचे आहे, किती पुष्कळ मिळेल?",D2
भाताची शेती फायदे भेटन तुनाले कितलं? मनाले कोणती कीटकारी करस?,भाताची शेती फायदा मिळेल तुला किती? मला कोणती कीटकारी करते?,D2
खास खातो शेतकरी गनज लाभ घेतात. तुनाले कोणत्या पिकाचे उत्पादन शेतस?,खात असेल शेतकरी पुष्कळ लाभ घेतात. तुला कोणत्या पिकाचे उत्पादन आहे?,D2
कृषी शेतमालाला पैशांची किंमत गनज शेतस. मनाले कोणत्या कार्यक्रमाने मिळती आर्थिक मदत?,कृषी शेतमालाला पैशांची किंमत पुष्कळ आहे. मला कोणत्या कार्यक्रमाने आर्थिक मदत मिळते?,D2
रबी शेती फळद्रव्यांचे पीक शेतस. तुनाले विहीरीत कितलं पाणी लागन?,रबी शेती फळद्रव्यांचे पीक आहे. तुला विहिरीत किती पाणी लागेल?,D2
कृषी कार्यक्रम शेतकरी विकासासाठी मदतीला जातात. मनाले कोणत्या शेतकऱ्यांना आर्थिक साहाय्य दिले जाते?,कृषी कार्यक्रम शेतकरी विकासासाठी मदतीला जातात. मला कोणत्या शेतकऱ्यांना आर्थिक साहाय्य दिले जाते?,D2
शेतकऱ्याचा पीक सुरक्षा यंत्रणा शेतस. तुनाले कोणत्या कंपन्यांनी पिकाचे प्रक्रियीकरण केले?,शेतकऱ्याचा पीक सुरक्षा यंत्रणा आहे. तुला कोणत्या कंपन्यांनी पिकाचे प्रक्रियीकरण केले?,D2
कृषी शेतमालाला वैशिष्ट्यांचे महत्व शेतस. मनाले कोणत्या शेततंत्राचा वापर केला जातो?,कृषी शेतमालाला वैशिष्ट्यांचे महत्व आहे. मला कोणत्या शेततंत्राचा वापर केला जातो?,D2
कृषी शेतमालाला पिकवण्यासाठी आवश्यक किंमत शेतस. तुनाले कोणत्या दुकानातून कृषी सामग्री मिळते?,कृषी शेतमालाला पिकवण्यासाठी आवश्यक किंमत आहे. तुला कोणत्या दुकानातून कृषी सामग्री मिळते?,D2
कृषी कार्यक्रम शेतकऱ्यांच्या आर्थिक स्थिती सुधारण्यासाठी काम करतात. मनाले कोणत्या कृषी कार्यक्रमाची माहिती आहे?,कृषी कार्यक्रम शेतकऱ्यांच्या आर्थिक स्थिती सुधारण्यासाठी काम करतात. मला कोणत्या कृषी कार्यक्रमाची माहिती आहे?,D2
कृषी शेतमालाला पाण्याची आवश्यकता शेतस. तुनाले कोणत्या विहिरीतून पाणी मिळते?,कृषी शेतमालाला पाण्याची आवश्यकता आहे. तुला कोणत्या विहिरीतून पाणी मिळते?,D2
मनाले गनज नायगा पिकाले उर्वरक देवाले शेतस?,मला अनेक नायगा पिकांना उर्वरक द्यायचे आहे?,D2
"तुनाले कापूस पिकाले कापून द्याले शेतस, माझ्या विहीरमधलं पाणी कितलं शेतस?","तुला कापूस पिकाला पाणी द्यायचे आहे, माझ्या विहिरीत पाणी किती आहे?",D2
"संत्रा पिकावर रोग पडना शेतस, तुनाले काय करस?","संत्रा पिकावर रोग पडला आहे, तुला काय करायचे आहे?",D2
"गावात गहू पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","गावात गहू पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"मनाले बटाटा पिकाले कापून द्याले शेतस, कठे बाजार भेटन?","मला बटाटा पिकाला पाणी द्यायचे आहे, कुठे बाजार मिळेल?",D2
"तुनाले खास खातो शेतस, कापूस पिकाले कितलं शेतस?","तुला खात असेल शेती आहे, कापूस पिकाला किती आहे?",D2
"गनज नायगा पिकावर रोग पडना शेतस, मनाले काय करस?","अनेक नायगा पिकावर रोग पडला आहे, मला काय करायचे आहे?",D2
"मनाले दुधापाळू पिकाले पाणी देवाले शेतस, कठे खावता भेटन?","मला दुधापाळू पिकाला पाणी द्यायचे आहे, कुठे खावता मिळेल?",D2
"तुनाले कापूस पिकाले कापून द्याले शेतस, विहीरमा पाणी कितलं शेतस?","तुला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"संत्रा पिकावर रोग पडना शेतस, मनाले कापून द्याले काय?","संत्रा पिकावर रोग पडला आहे, मला कापून द्यायचे काय आहे?",D2
"गनज गाय दुध पिकाले शेतस, कुठे मेवा भेटन?","अनेक गाय दुध पिकाला शेतास आहे, कुठे मेवा मिळेल?",D2
"मनाले काळ्या मीठी जाड पिकाले शेतस, कितलं पाणी शेतस?","मला काळ्या मीठी जाड पिकाला पाणी द्याला आहे, विहिरीत पाणी किती आहे?",D2
"शेतस सगळं काम पूर्ण करस, तुनाले तुम्ही काय करण?","शेतात सगळं काम पूर्ण झाले आहे, तुला काय करणे आहे?",D2
"कापूस पिकाले शेतस, कुठे भेटन विहीरमा पाणी शेतस?","कापूस पिकाला शेतास आहे, कुठे विहिरीत पाणी मिळेल?",D2
"संत्रा पिकावर रोग पडना शेतस, करस काय औषध शेतस?","संत्रा पिकावर रोग पडला आहे, काय औषध शेतास आहे?",D2
"गनज शेती सुरू करस, तुनाले काय शेती शेतस?","अनेक शेती सुरू झाली आहे, तुला काय शेती आहे?",D2
"मनाले मक्याचा पिकाले शेतस, कितलं पाणी शेतस?","मला मक्याचा पिकाला पाणी द्याला आहे, विहिरीत पाणी किती आहे?",D2
"शेतस गवत पिकाले लागन, कुठे भेटन?","शेतात गवत पिकाले लागेल, कुठे मिळेल?",D2
"कापूस पिकाले शेतस, मनाले काय करण?","कापूस पिकाला शेतास आहे, मला काय करणे आहे?",D2
"गनज पिकाले शेतस, तुनाले काय शेती शेतस?","अनेक शेती सुरू झाली आहे, तुला काय शेती आहे?",D2
"सोयाबीन पिकावर कीड पडना शेतस, कठे कीटनाशक भेटन?","सोयाबीन पिकावर कीड पडला आहे, कुठे कीटनाशक मिळेल?",D2
"तुनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","तुला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"भात पिकावर लागन लागेल, शेतकऱ्यांना कितले फायदे होतील?","भात पिकावर लागेल, शेतकऱ्यांना किती फायदे होतील?",D2
मनाले ज्वार पिकाले किती गाढवलं शेतस?,मला ज्वार पिकाले किती गाढवले आहे?,D2
गनज शेतकऱ्यांनी धान्य उभारण्याची यंत्रणा वापरणे शेतस.,पुष्कळ शेतकऱ्यांनी धान्य उभारण्याची यंत्रणा वापरली आहे.,D2
तुनाले मक्याच्या पिकासाठी किती पाणी देवाले शेतस?,तुला मक्याच्या पिकासाठी किती पाणी द्यायचे आहे?,D2
मनाले कापूस पिकाले मागील वेळी किती धान्य शेतस?,मला कापूस पिकाले मागील वेळी किती धान्य आहे?,D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, तुनाले कसं पिकलं असेल?","मला कापूस पिकाला पाणी द्यायचे आहे, तुला कसं पिकणार आहे?",D2
"गनज शेतस पिकवतात, कठे या पिकांची बाजारभाव भेटन?","पुष्कळ शेतात पिकवतात, कुठे या पिकांचे भाव मिळतात?",D2
तुनाले खेरीज शेतकरी म्हणजे काय शेतस?,तुला आडवलेली शेतकरी म्हणजे काय आहे?,D2
"मनाले शेती चांगली असते, पण पीक येतं गनज दिवस शेतस?","मला शेती चांगली असते, पण पीक येतं पुष्कळ दिवस आहे?",D2
शेतस विहीरमध्ये पाणी कितलं शेतस?,विहिरीत पाणी किती आहे?,D2
कापूस पिकाची निवड करस तुनाले शेतस?,कापूस पिकाची निवड कशी करायची आहे?,D2
"गनज तुकडे शेतस पिकवितात, तुनाले काय शेतस?","पुष्कळ तुकडे शेतात पिकवतात, तुला काय पिकणे?",D2
"मनाले कापूस पिकवितं शेतस, तुनाले किती पिकलं शेतस?","मला कापूस पिकणे आहे, तुला किती पिकलं आहे?",D2
"कापूस पीक लागन शेतस, मनाले काय करावं शेतस?","कापूस पीक वाढणार आहे, मला काय करावे?",D2
"गनज शेतकऱ्यांची सेवा केली शेतस, तुनाले काय शेतस?","पुष्कळ शेतकऱ्यांना सेवा केली आहे, तुला काय पिकणे?",D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"शेतस दुधारी गायी खास, तुनाले दुधाची किती पाती शेतस?","असती दुधारी गायी आहेत, तुला दुधाची किती पाती आहे?",D2
"गनज शेतकळी पिकाले जौ पिकाले लागन, मनाले सोलपासून शेतस?","अनेक शेतकळी पिकाल्या जौ पिकाल्या आहेत, मला सोलपासून शेताची किती जागी आहे?",D2
"तुनाले रयत शेतकळी पिकाले भात पिकाले भेटन, मनाले भाताची किती पाती शेतस?","तुला रयत शेतकळी पिकाला भात पिकाला आहे, मला भाताची किती पाती आहे?",D2
"शेतस बाबा शेतकळी पिकाले संत्रा पिकाले करस, मनाले संत्राच्या कितल्या पाती शेतस?","असता बाबा शेतकळी पिकाला संत्रा पिकाला करतो, मला संत्राच्या कित्या पाती आहे?",D2
"गनज शेतकळी पिकाले कापूस पिकाले शेतस, मनाले कापूसाची किती पाती शेतस?","अनेक शेतकळी पिकाला कापूस पिकाला आहे, मला कापूसाची किती पाती आहे?",D2
"भेटन शेतकळी पिकाले कोथिंबीर पिकाले शेतस, तुनाले कोथिंबीराची किती पाती शेतस?","मिळाली शेतकळी पिकाला कोथिंबीर पिकाला आहे, तुला कोथिंबीराची किती पाती आहे?",D2
"कठे औषध असते शेतकळी पिकाले रोगी शेतस, मनाले औषध भेटन?","कुठे औषध असते शेतकळी पिकाला रोगी आहे, मला औषध मिळेल?",D2
"गनज शेतकळी पिकाले गहू पिकाले शेतस, मनाले गहूची किती पाती शेतस?","अनेक शेतकळी पिकाला गहू पिकाला आहे, मला गहूची किती पाती आहे?",D2
"भेटन शेतकळी पिकाले मका पिकाले शेतस, तुनाले मकाची किती पाती शेतस?","मिळाली शेतकळी पिकाला मका पिकाला आहे, तुला मकाची किती पाती आहे?",D2
"मनाले बाजरी पिकाले पाणी देवाले शेतस, जळगावात पाणी कितलं शेतस?","मला बाजरी पिकाला पाणी द्यायचे आहे, जळगावात पाणी किती आहे?",D2
"तुनाले सगळे शेत सुखले शेतस, गावात किती शेतस आहे?","तुला सर्व शेत सुकले आहेत, गावात किती शेत आहेत?",D2
"कापूस पिकावर कीड पडना शेतस, खास जावे कुठे?","कापूस पिकावर कीड पडला आहे, खाता कुठे जावे?",D2
"गनज शेत माझे बाजरी पिकाले सुरू आहे, गावात कुठे पाणी बुडेल?","पुष्कळ शेत मी बाजरी पिकाले सुरू आहे, गावात कुठे पाणी बुडेल?",D2
"मनाले शेती केली तर शेतात पाणी शेतस, कुठे पाण्याचा तळा शेतस?","मला शेती केली तर शेतात पाणी असते, कुठे पाण्याचा तळा आहे?",D2
"तुनाले कापूस पिकाला जास्त पाणी देवाले शेतस, किती पैसे गेले?","तुला कापूस पिकाला जास्त पाणी द्यायचे आहे, किती पैसे गेले?",D2
"शेतस कापूस पिकाले पाणी देवाले शेतस, कुठे पाणी भरायला घाला?","कापूस पिकाला पाणी द्यायचे आहे, कुठे पाणी भरायला घाला?",D2
"बाजरी पिकावर बियाणे लावले शेतस, गनज शेत बियाणे लावले शेतस?","बाजरी पिकावर बियाणे लावले आहे, पुष्कळ शेत बियाणे लावले आहे?",D2
मनाले शेतात पाणी भरायला कठे जावे शेतस?,मला शेतात पाणी भरायला कुठे जावे?,D2
"तुनाले शेतात जावे तर कापूस पिकले शेतस, गनज शेत कापूस पिकले शेतस?","तुला शेतात जावे तर कापूस पिकले आहे, पुष्कळ शेत कापूस पिकले आहे?",D2
"मनाले कापूस पिकाले जास्त शेतस, उर्वरक कितलं करस?","मला कापूस पिकाला जास्त शेत असते, उर्वरक किती करतो?",D2
"तुनाले सोयाबीन पिकाले पाणी देवाले शेतस, सिंचाई सिस्टिम कितलं शेतस?","तुला सोयाबीन पिकाला पाणी द्यायचे आहे, सिंचाई सिस्टीम किती आहे?",D2
"गनज शेतकऱ्यांनी भात पिकाले खास, त्यांच्या शेतात कितलं मिठास शेतस?","पुष्कळ शेतकऱ्यांनी भात पिकाला खात असेल, त्यांच्या शेतात किती मिठास आहे?",D2
"मनाले कपाशी पिकाले पाणी देवाले शेतस, कितलं पाणी शेतस हि काढन?","मला कपाशी पिकाला पाणी द्यायचे आहे, किती पाणी शेतासाठी चालेल?",D2
"संत्रा पिकावर रोग पडना शेतस, तुनाले काय उपाय करस?","संत्रा पिकावर रोग पडला आहे, तुला काय उपाय करतो?",D2
"गावातील शेतकऱ्यांनी कापूस पिकाले खास, कितलं कापूस शेतकऱ्यांना विकण?","गावातील शेतकऱ्यांनी कापूस पिकाला खात असेल, किती कापूस शेतकऱ्यांना विकण्यास आहे?",D2
"मनाले गहू पिकाले जास्त शेतस, कितलं गहू पिकाले खास?","मला गहू पिकाला जास्त शेत असते, किती गहू पिकाला खात असेल?",D2
"तुनाले कांदा पिकाले पाणी देवाले शेतस, कितलं पाणी शेतस हि काढन?","तुला कांदा पिकाला पाणी द्यायचे आहे, किती पाणी शेतासाठी चालेल?",D2
"गनज शेतकऱ्यांनी उष्णकटिबंधीय पिके पिकाले खास, कितलं रासायनिक उर्वरक शेतकऱ्यांनी वापरन?","पुष्कळ शेतकऱ्यांनी उष्णकटिबंधीय पिके पिकाला खात असेल, किती रासायनिक उर्वरक शेतकऱ्यांनी वापरत आहे?",D2
"संत्रा पिकावरील रोगाचे निदान करण्यासाठी शासकीय कृषि विद्यालयात जावे लागन, तुनाले काय शिकवण करस?","संत्रा पिकावरील रोगाचे निदान करण्यासाठी राज्यातील कृषि विद्यालयात जायला लागेल, तुला काय शिकवण मिळेल?",D2
"मनाले तयाची गवत पिकाले 20 एकर शेतस, बांधवाला कितलं कासव शेतस?","मला तयाची गवत पिकाला 20 एकर शेती आहे, बांधवाला किती कासव आहेत?",D2
"तुनाले शेतात उर्बळ पडला शेतस, गावात वैद्य कधी गावता?","तुला शेतात उर्बळ पडला आहे, गावात वैद्य कधी मिळेल?",D2
"गनज शेतकऱ्यांनी कापसाची पिकणी केली शेतस, मोठ्या शेतात कितलं कापूस शेतस?","अनेक शेतकऱ्यांनी कापसाची पिकणी केली आहे, मोठ्या शेतात किती कापूस आहे?",D2
"सगळ्यांनी कापसाची पिकणी केली शेतस, कुठे कापूस भेटन?","सगळ्यांनी कापसाची पिकणी केली आहे, कुठे कापूस मिळेल?",D2
"कपाशीची पिकणी केली शेतस, कुठे शेतकऱ्यांना कापसाची भेट नाही शेतस?","कपाशीची पिकणी केली आहे, कुठे शेतकऱ्यांना कापसाची भेट नाही?",D2
"शेतातील कापसाची पिकणी पूर्ण केली शेतस, कितलं कापूस शेतस?","शेतातील कापसाची पिकणी पूर्ण केली आहे, किती कापूस आहे?",D2
"कापसाची पिकणी पूर्ण केली शेतस, गावातील शेतकऱ्यांना कितलं कापूस शेतस?","कापसाची पिकणी पूर्ण केली आहे, गावातील शेतकऱ्यांना किती कापूस आहे?",D2
"गनज शेतकऱ्यांना कापसाची भेट मिळेल शेतस, कुठे कापूस शेतस?","अनेक शेतकऱ्यांना कापसाची भेट मिळेल, कुठे कापूस आहे?",D2
"कापसाची पिकणी पूर्ण केली शेतस, कितलं कापूस करस?","कापसाची पिकणी पूर्ण केली आहे, किती कापूस करतो?",D2
"मनाले कापसाची पिकणी केली शेतस, कुठे कापूस शेतस?","मला कापसाची पिकणी केली आहे, कुठे कापूस आहे?",D2
"मनाले कापूस पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला कापूस पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
"संत्रा पिकावर रोग पडना शेतस, कठे औषध भेटन?","संत्रा पिकावर रोग पडला आहे, कुठे औषध मिळेल?",D2
"गनज जातीचा बियाणा भेटन, शेतकऱ्यांना कशा चांगल्या पीकाला शेतस?","पुष्कळ जातीचा बियाणा मिळेल, शेतकऱ्यांना कशा चांगल्या पीकाला आहे?",D2
"तुनाले खास खातो फळाच्या पिकाला पाणी देवाले शेतस, कुठे सिंचाई सुविधा शेतस?","तुला खात असेल फळाच्या पिकाला पाणी द्यायचे आहे, कुठे सिंचाई सुविधा आहे?",D2
"मनाले शेतकऱ्यांना जैविक खते शेळन, वेगवेगळ्या खते कसे चांगल्या शेतस?","मला शेतकऱ्यांना जैविक खते देणे, वेगवेगळ्या खते कशा चांगल्या आहे?",D2
शेतस कापूस पिकाला नाव नांदण्याची गरज असते का तुनाले?,"शेतकऱ्यांना कापूस पिकाला नाव नांदण्याची गरज असते, तुला काय?",D2
गनज पिके पिकण्यासाठी कुठे कृषी शिक्षण संस्था शेतस?,पुष्कळ पिके पिकण्यासाठी कुठे कृषी शिक्षण संस्था आहे?,D2
"मनाले शेतकऱ्यांना फायद्याची विविध शेती प्रजाती भेटन, खास कोणती शेती शेतस?","मला शेतकऱ्यांना फायद्याची विविध शेती प्रजाती मिळेल, खात असेल कोणती शेती?",D2
तुनाले तुमच्या शेतात कापूस पिकण्याची गरज असेल का मनाले?,तुला तुमच्या शेतात कापूस पिकण्याची गरज असेल का मला?,D2
"सावली पिकाला शेतात कुठे पाणी देवाले शेतस, कुठे वाहिनी सुविधा शेतस?",सावली पिकाला शेतात कुठे पाणी द्यायचे आहे शेतकऱ्यांना कुठे वाहिनी सुविधा आहे?,D2
"मनाले बागायती फळ पिकाले पाणी देवाले शेतस, विहीरमा पाणी कितलं शेतस?","मला बागायती फळ पिकाला पाणी द्यायचे आहे, विहिरीत पाणी किती आहे?",D2
कठे कोळंबीर पिकांसाठी खास किंमत शीतस?,कुठे कोळंबीर पिकांसाठी किती किंमत आहे?,D2
"तुनाले बियाणे खरेदी कराले शेतस, कुठल्या बाजारात शेतस?",तुला बियाणे कुठे खरेदी करायचे आहे?,D2
भेटन कोळंबीर पिकांना जड लावण्याची शेतस.,कुठे कोळंबीर पिकांना किती लावण्याची आहे?,D2
"मनाले जास्त कापूस पिकाले पाणी देवाले शेतस, कुठल्या शेतात शेतस?","मला जास्त कापूस पिकाला पाणी द्यायचे आहे, कुठल्या शेतात?",D2
तुनाले कापूस पिकाले जास्त फायदा शेतस.,तुला कापूस पिकून किती फायदा होणार आहे?,D2
"कपासी शेतस तुनाले बियाणे पाणी देवाले, गाईनी दुधाची उत्पादन वाढन?","कपासी शेतांना बियाणे पाणी देणे आहे, गाईनी दुधाची उत्पादन वाढेल का?",D2
"कृष्णा नियोजनात, शेतकळाला उर्जा पुरवठा सुविधा भेटन, किती शेतकळा लाभन?","कृष्णा योजनेत, शेतकळाला उर्जा पुरवठा सुविधा मिळेल, किती शेतकळा लाभेल?",D2
"मनाले शेतस शेतीसाठी कंत्राट भेटन, किती किंमत भेटन?","मला शेतीसाठी कंत्राट मिळेल, किती किंमत मिळेल?",D2
"गनज शेतकळा सगळे तळ्यात पाणी शेतस, विहीरमा पाणी कितलं शेतस?","पुष्कळ शेतकळांनी सगळे तळ्यात पाणी दिले आहे, विहिरीत पाणी किती आहे?",D2
